feature,sd_train,pred0,delta_pred_1sd,importance,variant,outcome_col
sector_cluster_Urban_flood_protection,0.13613289961953273,-0.0716885699155199,0.12521138782667718,0.12521138782667718,zagg,outcomes_z_activity_mean
planned_duration,2.709495793504373,-0.0716885699155199,0.05163462701993715,0.05163462701993715,zagg,outcomes_z_activity_mean
sector_cluster_Green_growth_initiatives,0.061903466555714375,-0.0716885699155199,0.04256127254352436,0.04256127254352436,zagg,outcomes_z_activity_mean
umap3_z,1.192793085478108,-0.0716885699155199,-0.03955203036831717,0.03955203036831717,zagg,outcomes_z_activity_mean
expenditure_x_complexity,13249019344.723013,-0.0716885699155199,0.03294730981362929,0.03294730981362929,zagg,outcomes_z_activity_mean
cpia_score,0.2674110467973887,-0.0716885699155199,0.02459873642810389,0.02459873642810389,zagg,outcomes_z_activity_mean
planned_expenditure,508765417.23255277,-0.0716885699155199,0.024597937814148214,0.024597937814148214,zagg,outcomes_z_activity_mean
sector_cluster_Capacity_Building_and_Technical_Assistance,0.04145018961533645,-0.0716885699155199,0.022844503723743866,0.022844503723743866,zagg,outcomes_z_activity_mean
umap3_y,1.1256474612875131,-0.0716885699155199,-0.02240699325910943,0.02240699325910943,zagg,outcomes_z_activity_mean
complexity,18.595725397844895,-0.0716885699155199,-0.020705773414334716,0.020705773414334716,zagg,outcomes_z_activity_mean
