activity_id,transaction_type_code,currency,total_amount,first_date,last_date
XM-DAC-46004-52034-001-GRNT0960,3,USD,14043.18,2024-09-30,2025-08-31
XM-DAC-46004-53053-001-LN4070,2,USD,197900326.40,2023-09-30,2023-09-30
XM-DAC-46004-53053-001-LN4070,3,USD,46602752.77,2021-10-31,2025-08-31
XM-DAC-46004-53053-001-LN4070,5,USD,7144319.38,2022-10-31,2025-08-31
XM-DAC-46004-52111-001-GRNT0947,2,USD,99700000.00,2023-09-30,2023-09-30
GB-COH-05543952-EMUK10791,1,AMD,1754014.77,2022-08-31,2023-05-31
GB-COH-05543952-EMUK10791,3,AMD,70517,2022-08-31,2023-03-31
GB-COH-05543952-EMUK10791,4,AMD,91404,2022-08-31,2023-05-31
GB-COH-05543952-EMUK10791,4,GBP,9285957.68,2018-09-30,2023-05-31
GB-COH-05543952-EMUK10791,4,ANG,14326,2022-08-31,2023-03-31
GB-COH-05543952-EMUK10791,1,GBP,8429347.45,2018-12-31,2022-05-31
GB-COH-05543952-EMUK10791,3,GBP,1517362.98,2018-12-31,2022-05-31
XM-DAC-46004-55080-001-LN4401,2,USD,250000000.00,2023-09-30,2023-09-30
XM-DAC-46004-55080-001-LN4401,3,USD,250000000.00,2023-12-31,2024-03-31
XM-DAC-46004-55080-001-LN4401,5,USD,15662470.17,2024-10-31,2025-08-31
XM-DAC-46004-55048-001-LN4369,2,USD,231354253.50,2023-09-30,2023-09-30
XM-DAC-46004-55048-001-LN4369,3,USD,6835799.54,2023-12-31,2025-08-31
XM-DAC-46004-55048-001-LN4369,5,USD,395817.12,2024-10-31,2025-08-31
DE-1-201620715,2,EUR,4158182.67,2018-11-01,2018-11-01
DE-1-201620715,4,EUR,3889471.21,2022-03-02,2022-03-02
CA-3-P012801001,2,CAD,350000000.00,2024-03-12,2024-03-12
CA-3-P012801001,3,CAD,350000000.00,2024-03-12,2025-02-18
CA-3-D004809001,2,CAD,20000000.00,2019-09-16,2019-09-16
CA-3-D004809001,3,CAD,20000000.00,2019-09-25,2023-10-26
XI-IATI-EC_INTPA-2024-ACT-61841,2,EUR,58300000,2023-12-11,2023-12-11
XM-DAC-46004-55080-001-TA10204,2,USD,500000.00,2023-09-30,2023-09-30
GB-GOV-7-BPFPROB,3,GBP,37500000,2021-11-23,2024-11-11
XM-DAC-46004-56199-001-LN7728,2,USD,6000000.00,2023-09-30,2023-09-30
XM-DAC-46004-55191-001-GRNT0900,2,USD,41500000.00,2023-09-30,2023-09-30
XM-DAC-46004-55191-001-GRNT0900,3,USD,2705242.78,2023-12-31,2025-08-31
XM-DAC-46004-55191-001-LN8454,2,USD,10000000.00,2023-09-30,2023-09-30
XM-DAC-46004-55191-001-LN8454,3,USD,1000935.42,2023-12-31,2025-08-31
XM-DAC-46004-55191-001-LN8454,1,USD,1000000.00,2024-08-13,2024-08-13
XM-DAC-46004-55191-001-LN4344,2,USD,8500000.00,2023-09-30,2023-09-30
XM-DAC-46004-55191-001-GRNT0904,2,USD,5000000.00,2023-09-30,2023-09-30
XM-DAC-46004-55191-001-GRNT0904,3,USD,500993.41,2023-12-31,2025-08-31
XM-DAC-46004-55191-001-GRNT0904,1,USD,500000.00,2024-08-13,2024-08-13
CA-3-P012237001,2,CAD,4411980.00,2024-01-15,2024-01-15
CA-3-P012237001,3,CAD,789109.78,2024-02-26,2025-09-04
CA-3-P014080001,2,CAD,7000000.00,2024-09-27,2024-09-27
CA-3-P014080001,3,CAD,4094279.07,2025-01-22,2025-07-09
XM-DAC-46004-45022-002-GRNT0420,2,USD,2546300.00,2023-09-30,2023-09-30
CA-3-P012917001,2,CAD,7000000.00,2024-03-22,2024-03-22
CA-3-P012917001,3,CAD,1250000.00,2024-03-28,2024-03-28
CA-3-P005464001,2,CAD,7000000.00,2020-02-19,2020-02-19
CA-3-P005464001,3,CAD,6079414.00,2020-03-06,2024-06-05
XM-DAC-46004-50288-001-TA10229,2,USD,500000.00,2023-09-30,2023-09-30
XM-DAC-46004-50288-001-LN3886,2,USD,200000000.00,2023-09-30,2023-09-30
XM-DAC-46004-50288-001-LN3886,3,USD,7978431.10,2019-12-31,2025-08-31
XM-DAC-46004-50288-001-LN3886,5,USD,3037012.69,2025-06-30,2025-08-31
CA-3-A032232003,2,CAD,20000000.00,2006-03-31,2006-03-31
CA-3-A032232003,3,CAD,20000000.00,2005-01-20,2009-08-26
DE-1-201921428,2,EUR,8100000.00,2020-01-01,2020-01-01
DE-1-201921428,4,EUR,7694453.83,2024-01-30,2024-01-30
CA-3-A035152001,2,CAD,4450000.00,2011-03-08,2011-03-08
CA-3-A035152001,3,CAD,4450000.00,2011-03-29,2011-03-29
XM-DAC-46004-56309-001-LN4398,2,USD,200000000.00,2023-09-30,2023-09-30
XM-DAC-46004-56309-001-LN4398,5,USD,370000.00,2024-11-30,2025-08-31
CA-3-P011300001,2,CAD,42000000.00,2023-03-27,2023-03-27
CA-3-P011300001,3,CAD,42000000.00,2023-03-29,2023-03-29
DE-1-201020338,2,EUR,18787354.00,2010-08-03,2010-08-03
DE-1-201020338,4,EUR,18480883.93,2015-12-31,2015-12-31
XM-DAC-47064-2-1,1,EUR,517447,2020-04-10,2022-09-30
